Id	Score	Text
0	5	Okay I was eagerly awaiting this tea since I ordered it, especially after the glowing reviews other people have written. Well I was not disappointed! I have tried this hot, cold, somewhere in the middle, smoothie, latte..etc. Basically I've tried it all with my small 30g sample (basic grade a.k.a classic with robust flavour). I like this best hot half matcha, half milk and marshmallows! The customer service is great if you have any problems or questions just ask them :D I also ordered with the tin since the bags aren't resealable. The small tin fits very nicely into my cupboard and helps my tea take up a lot less space! I recommend this to everyone!
1	3	<span class= tiny > Length:: 0:47 Mins<br /><br /></span>Maybe living in Seattle has made me a bit of a coffee snob, but this espresso does not really impress!<br /><br />See video for demonstration.<br /><br />It extremely easy to pull the shots from the Dolce Gusto machine and it leaves a nice crema layer at the top. The shot is not very strong, but definitely not weak or watery (like most the other Dolce Gusto pods which I reviewed). I still prefer my <a href= http://www.amazon.com/gp/product/B000E3ZF76 >Lello 1375 Ariete Cafe Prestige</a> which gives me the flexibility of using whichever beans I prefer. One of my favorites (besides some local roasters) is <a href= http://www.amazon.com/gp/product/B0002E2FH0 >Lavazza Super Crema</a> which is a much bolder and full-bodied coffee.
2	5	Paying the little extra makes all the difference. Smooth, creamy, agreeable taste, and not too sweet is the best way to describe this great product.
3	5	As earlier posted, Lavazza products are some of the foremost Italian coffees. It's delicious to those of us who appreciate quality coffee.
4	5	...Pancakes! Biscuits! GRAVY! (try browning [frying] the baking mix in bacon fat [uncured] or whatever oil to make your rue[is that how you spell it?] then proceed...)  GARLIC CHEESE Biscuits!!!!! Cookies! (I use heavy cream in the batter/dough/gravy--INCREDIBLE! Helps me balance the carbs [hypoglycemic]) ETC.! Taste: ASTOUNDING! Texture: as close as you can get!!! I'm get'n hungry --gotta go makes some flapjacks! :) ?Did I mention Scones?!?! ;)
5	5	Just as good as the other Clif bars, but dry and crunchy. Tasty, portable, and cheaper than the others. Perfect snack.
6	5	I use pumpkin to help with my dogs' digestion - the fiber in pumpkin was recommneded by my vet.  It has worked like a charm for the past year.  Problem is finidnig canned pumpkin outside of the holiday baking season - so it's pricey in terms of the shipping costs.  But I only give them about a tablespoon on their food once a day so it'll last a long time.
7	5	I brown hamburger with a little onion in a skillet, then cook this according to directions in the same skillet with the hamburger(I use really lean hamburger, so I don't even drain it).  Add a little sour cream and frozen peas at the end of the cooking time and you have a great tasting all in one skillet meal.  This will feed two if you add bread and a jello salad (or one if it's a teenage boy).
8	5	Our poodles love this food. On Amazon the price is always within a dollar or two of the lowest price I can find it anywhere else. BUT, on Amazon I don't have to pay tax and with Prime I don't have shipping costs so it saves me the hassle of driving to pick it up. It is just an outstanding deal for us!!
9	5	I think the Naked Coconut Water is the best on the market.  I've tried other brands and find that this is the closest to taking a drink from an actual coconut.  It's truly coconut water without having to actually peel a coconut.
